"","playerId","name","position","team","birthDate","weight","height","nationality","shootsCatches","primaryNumber","primaryPosition"
"1",8479323,"Adam Fox","D","NYR",1998-02-17,181,"5' 11""","USA","R",23,"D"
"2",8478903,"Adam Huska","G","NYR",1997-05-12,214,"6' 4""","SVK","L",32,"G"
"3",8468500,"Alex Frolov","L","NYR",1982-06-19,210,"6' 2""","RUS","R",31,"L"
"4",8482109,"Alexis Lafrenire","L","NYR",2001-10-11,193,"6' 2""","CAN","L",13,"L"
"5",8459443,"Anders Eriksson","D","NYR",1975-01-09,224,"6' 3""","SWE","L",25,"D"
"6",8470301,"Andre Deveaux","C","NYR",1984-02-23,239,"6' 3""","BHS","R",56,"C"
"7",8475868,"Anthony Bitetto","D","NYR",1990-07-15,210,"6' 1""","USA","L",2,"D"
"8",8479447,"Anthony Greco","R","NYR",1993-09-30,176,"5' 10""","USA","R",76,"R"
"9",8465025,"Arron Asham","R","NYR",1978-04-13,210,"5' 11""","CAN","R",45,"R"
"10",8478550,"Artemi Panarin","L","NYR",1991-10-30,168,"5' 11""","RUS","R",9,"L"
"11",8476624,"Barclay Goodrow","C","NYR",1993-02-26,215,"6' 2""","CAN","L",23,"R"
"12",8477433,"Ben Harpur","D","NYR",1995-01-12,222,"6' 6""","CAN","L",67,"D"
"13",8476922,"Boo Nieves","C","NYR",1994-01-23,210,"6' 3""","USA","L",24,"C"
"14",8482073,"Braden Schneider","D","NYR",2001-09-20,202,"6' 2""","CAN","R",45,"D"
"15",8477990,"Brandon Halverson","G","NYR",1996-03-29,210,"6' 4""","USA","L",75,"G"
"16",8469755,"Brandon Segal","R","NYR",1983-07-12,215,"6' 2""","CAN","R",24,"R"
"17",8469516,"Brendan Bell","D","NYR",1983-03-31,205,"6' 2""","CAN","L",39,"D"
"18",8471728,"Brodie Dupont","L","NYR",1987-02-17,210,"6' 2""","CAN","L",40,"L"
"19",8459462,"Bryan McCabe","D","NYR",1975-06-08,223,"6' 2""","CAN","L",28,"D"
"20",8471411,"Chad Kolarik","C","NYR",1986-01-26,178,"5' 11""","USA","R",25,"C"
"21",8460562,"Chris Drury","C","NYR",1976-08-20,191,"5' 10""","USA","R",23,"C"
"22",8475184,"Chris Kreider","L","NYR",1991-04-30,216,"6' 3""","USA","L",20,"L"
"23",8474535,"Chris Mueller","C","NYR",1986-03-06,196,"5' 10""","USA","R",49,"C"
"24",8473589,"Chris Summers","D","NYR",1988-02-05,207,"6' 2""","USA","L",55,"D"
"25",8475736,"Connor Brickley","L","NYR",1992-02-25,203,"6' 0""","USA","L",56,"L"
"26",8477214,"Conor Allen","D","NYR",NA,NA,NA,NA,NA,NA,NA
"27",8467096,"Dan Boyle","D","NYR",1976-07-12,194,"5' 11""","CAN","R",22,"D"
"28",8476401,"Daniel Catenacci","C","NYR",1993-03-09,193,"5' 10""","CAN","L",43,"C"
"29",8470230,"Daniel Paille","L","NYR",NA,NA,NA,NA,NA,NA,NA
"30",8473932,"Darroll Powe","C","NYR",1985-06-22,212,"5' 11""","CAN","L",8,"C"
"31",8471976,"David Desharnais","C","NYR",1986-09-14,180,"5' 7""","CAN","L",51,"C"
"32",8469647,"Derek Boogaard","L","NYR",1982-06-23,265,"6' 7""","CAN","L",94,"L"
"33",8459246,"Donald Brashear","L","NYR",1972-01-07,237,"6' 3""","USA","L",87,"L"
"34",8471263,"Enver Lisin","R","NYR",1986-04-22,200,"6' 2""","RUS","L",81,"R"
"35",8468650,"Erik Reitz","D","NYR",1982-07-29,222,"6' 1""","USA","R",3,"D"
"36",8480078,"Filip Chytil","C","NYR",1999-09-05,208,"6' 2""","CZE","L",72,"C"
"37",8475735,"Greg McKegg","C","NYR",1992-06-17,194,"6' 0""","CAN","L",42,"C"
